Продукт;Калорийность;Белки;Жиры;Углеводы
Яйцо куриное, замороженное;147.0;12.33;9.95;1.01
Яйцо куриное, замороженное, подсоленное;138.0;10.97;10.07;0.83
Яйцо куриное, омлет;154.0;10.57;11.66;0.64
Яйцо куриное, пашот;143.0;12.51;9.47;0.71
Яйцо куриное, сушеное, стабилизированное, обогащенное глюкозой;615.0;48.17;43.95;2.38
Яйцо перепелиное;158.0;13.05;11.09;0.41
Заменитель яйца, жидкий или замороженный, обезжиренный;48.0;10.0;0.0;2.0
Заменитель яйца, порошок;444.0;55.5;13.0;21.8
Меланж;157.0;12.7;11.5;0.7
Омлет из яичного порошка, по 1-316;200.0;10.3;17.0;1.6
Эгног (напиток из взбитых яиц с сахаром, ромом или вином);88.0;4.55;4.19;8.05
Яичница глазунья, по 1-312;243.0;12.9;20.9;0.9
Яичница-болтунья;149.0;9.99;10.98;1.61
Яичница-болтунья, замороженная;131.0;13.1;5.6;7.5
Яичный белок куриный;48.0;11.1;0.17;1.0
Яичный белок куриный;52.0;10.9;0.17;0.73
Яичный белок куриный, замороженный;48.0;10.2;0.0;1.04
Яичный белок куриный, сушеный;350.0;82.4;1.8;1.2
Яичный белок куриный, сушеный;382.0;81.1;0.0;7.8
Яичный белок куриный, сушеный, в хлопьях, со сниженной глюкозой;351.0;76.92;0.04;4.17
Яичный белок куриный, сушеный, порошок, со сниженной глюкозой;376.0;82.4;0.04;4.47
Яичный белок куриный, сушеный, стабилизированный, со сниженной глюкозой;357.0;84.08;0.32;4.51
Яичный желток куриный;322.0;15.86;26.54;3.59
Яичный желток куриный;354.0;16.2;31.2;3.59
Яичный желток куриный замороженный;296.0;15.53;25.6;0.81
Яичный желток куриный замороженный, подслащенный;307.0;13.87;22.82;10.95
Яичный желток куриный, замороженный, подсоленый;275.0;14.07;22.93;1.77
Яичный желток куриный, сушеный;612.0;31.1;52.2;4.7
Яичный желток куриный, сушеный;669.0;33.63;59.13;0.66
Яичный микс (удовлетворяющий стандартам министерства сельского хозяйства США);555.0;35.6;34.5;23.97
Яичный порошок;542.0;46.0;37.3;4.5
Яйцо гусиное;185.0;13.87;13.27;1.35
Яйцо индюшиное;171.0;13.68;11.88;1.15
Яйцо куриное;143.0;12.56;9.51;0.72
Яйцо куриное;157.0;12.7;11.5;0.7
Яйцо куриное вареное вкрутую;158.7;12.828;11.616;0.707
Яйцо куриное вареное вкрутую;155.0;12.58;10.61;1.12
Яйцо куриное вареное всмятку;158.7;12.828;11.616;0.707
Яйцо куриное жареное;196.0;13.61;14.84;0.83
Яйцо куриное жареное (без масла);174.6;14.598;12.557;0.805
Яйцо куриное сушеное;592.0;48.05;43.9;1.13
Яйцо куриное, замороженное;147.0;12.33;9.95;1.01
Яйцо куриное, замороженное, подсоленное;138.0;10.97;10.07;0.83
Яйцо куриное, омлет;154.0;10.57;11.66;0.64
Яйцо куриное, пашот;143.0;12.51;9.47;0.71
Яйцо куриное, сушеное, стабилизированное, обогащенное глюкозой;615.0;48.17;43.95;2.38
Яйцо перепелиное;158.0;13.05;11.09;0.41
Яйцо перепелиное;168.0;11.9;13.1;0.6
Заменитель яйца, жидкий или замороженный, обезжиренный;48.0;10.0;0.0;2.0
Заменитель яйца, порошок;444.0;55.5;13.0;21.8
Меланж;157.0;12.7;11.5;0.7
Омлет из яичного порошка, по 1-316;200.0;10.3;17.0;1.6
Эгног (напиток из взбитых яиц с сахаром, ромом или вином);88.0;4.55;4.19;8.05
Яичница глазунья, по 1-312;243.0;12.9;20.9;0.9
Яичница-болтунья;149.0;9.99;10.98;1.61
Яичница-болтунья, замороженная;131.0;13.1;5.6;7.5
Яичный белок куриный;48.0;11.1;0.17;1.0
Яичный белок куриный;52.0;10.9;0.17;0.73
Яичный белок куриный, замороженный;48.0;10.2;0.0;1.04
Яичный белок куриный, сушеный;350.0;82.4;1.8;1.2
Яичный белок куриный, сушеный;382.0;81.1;0.0;7.8
Яичный белок куриный, сушеный, в хлопьях, со сниженной глюкозой;351.0;76.92;0.04;4.17
Яичный белок куриный, сушеный, порошок, со сниженной глюкозой;376.0;82.4;0.04;4.47
Яичный белок куриный, сушеный, стабилизированный, со сниженной глюкозой;357.0;84.08;0.32;4.51
Яичный желток куриный;322.0;15.86;26.54;3.59
Яичный желток куриный;354.0;16.2;31.2;3.59
Яичный желток куриный замороженный;296.0;15.53;25.6;0.81
Яичный желток куриный замороженный, подслащенный;307.0;13.87;22.82;10.95
Яичный желток куриный, замороженный, подсоленый;275.0;14.07;22.93;1.77
Яичный желток куриный, сушеный;612.0;31.1;52.2;4.7
Яичный желток куриный, сушеный;669.0;33.63;59.13;0.66
Яичный микс (удовлетворяющий стандартам министерства сельского хозяйства США);555.0;35.6;34.5;23.97
Яичный порошок;542.0;46.0;37.3;4.5
Яйцо гусиное;185.0;13.87;13.27;1.35
Яйцо индюшиное;171.0;13.68;11.88;1.15
Яйцо куриное;143.0;12.56;9.51;0.72
Яйцо куриное;157.0;12.7;11.5;0.7
Яйцо куриное вареное вкрутую;158.7;12.828;11.616;0.707
Яйцо куриное вареное вкрутую;155.0;12.58;10.61;1.12
Яйцо куриное вареное всмятку;158.7;12.828;11.616;0.707
Яйцо куриное жареное;196.0;13.61;14.84;0.83
Яйцо куриное жареное (без масла);174.6;14.598;12.557;0.805
Яйцо куриное сушеное;592.0;48.05;43.9;1.13
Яйцо куриное, замороженное;147.0;12.33;9.95;1.01
Яйцо куриное, замороженное, подсоленное;138.0;10.97;10.07;0.83
Яйцо куриное, омлет;154.0;10.57;11.66;0.64
Яйцо куриное, пашот;143.0;12.51;9.47;0.71
Яйцо куриное, сушеное, стабилизированное, обогащенное глюкозой;615.0;48.17;43.95;2.38
Яйцо перепелиное;158.0;13.05;11.09;0.41
Яйцо перепелиное;168.0;11.9;13.1;0.6
Яйцо под майонезом, по 1-86;256.0;4.1;24.5;4.7
Заменитель яйца, жидкий или замороженный, обезжиренный;48.0;10.0;0.0;2.0
Заменитель яйца, порошок;444.0;55.5;13.0;21.8
Меланж;157.0;12.7;11.5;0.7
Омлет из яичного порошка, по 1-316;200.0;10.3;17.0;1.6
Эгног (напиток из взбитых яиц с сахаром, ромом или вином);88.0;4.55;4.19;8.05
Яичница глазунья, по 1-312;243.0;12.9;20.9;0.9
Яичница-болтунья;149.0;9.99;10.98;1.61
Яичница-болтунья, замороженная;131.0;13.1;5.6;7.5
Яичный белок куриный;48.0;11.1;0.17;1.0
Яичный белок куриный;52.0;10.9;0.17;0.73
Яичный белок куриный, замороженный;48.0;10.2;0.0;1.04
Яичный белок куриный, сушеный;350.0;82.4;1.8;1.2
Яичный белок куриный, сушеный;382.0;81.1;0.0;7.8
Яичный белок куриный, сушеный, в хлопьях, со сниженной глюкозой;351.0;76.92;0.04;4.17
Яичный белок куриный, сушеный, порошок, со сниженной глюкозой;376.0;82.4;0.04;4.47
Яичный белок куриный, сушеный, стабилизированный, со сниженной глюкозой;357.0;84.08;0.32;4.51
Яичный желток куриный;322.0;15.86;26.54;3.59
Яичный желток куриный;354.0;16.2;31.2;3.59
Яичный желток куриный замороженный;296.0;15.53;25.6;0.81
Яичный желток куриный замороженный, подслащенный;307.0;13.87;22.82;10.95
Яичный желток куриный, замороженный, подсоленый;275.0;14.07;22.93;1.77
Яичный желток куриный, сушеный;612.0;31.1;52.2;4.7
Яичный желток куриный, сушеный;669.0;33.63;59.13;0.66
Яичный микс (удовлетворяющий стандартам министерства сельского хозяйства США);555.0;35.6;34.5;23.97
Яичный порошок;542.0;46.0;37.3;4.5
Яйцо гусиное;185.0;13.87;13.27;1.35
Яйцо индюшиное;171.0;13.68;11.88;1.15
Яйцо куриное;143.0;12.56;9.51;0.72
Яйцо куриное;157.0;12.7;11.5;0.7
Яйцо куриное вареное вкрутую;158.7;12.828;11.616;0.707
Яйцо куриное вареное вкрутую;155.0;12.58;10.61;1.12
Яйцо куриное вареное всмятку;158.7;12.828;11.616;0.707
Яйцо куриное жареное;196.0;13.61;14.84;0.83
Яйцо куриное жареное (без масла);174.6;14.598;12.557;0.805
Яйцо куриное сушеное;592.0;48.05;43.9;1.13
Яйцо куриное, замороженное;147.0;12.33;9.95;1.01
Яйцо куриное, замороженное, подсоленное;138.0;10.97;10.07;0.83
Яйцо куриное, омлет;154.0;10.57;11.66;0.64
Яйцо куриное, пашот;143.0;12.51;9.47;0.71
Яйцо куриное, сушеное, стабилизированное, обогащенное глюкозой;615.0;48.17;43.95;2.38
Яйцо перепелиное;158.0;13.05;11.09;0.41
Яйцо перепелиное;168.0;11.9;13.1;0.6
Яйцо под майонезом, по 1-86;256.0;4.1;24.5;4.7
Яйцо утиное;185.0;12.81;13.77;1.45
